<總標題> 梵天品教義精要 </總標題>
<摘要> 闡述精勤修行、遵循教法、守護根門、離欲解脫的核心法義，並說明聖者境界與涅槃真諦。 </摘要>
<內容>
81.1. 修行根本法則
81.1.1 精進修行要領
- 住於不放逸，實踐法與戒律
- 守護諸根門，保持正念分明
81.1.2 解脫成就果報
- 能夠擊敗惡魔軍眾，解脫生死輪迴
- 達到苦的邊際，獲得究竟解脫
- 心無怖畏，得寂靜安樂
81.2. 修行處所與心態
81.2.1 適宜修行環境
- 應當居住於遠離市里的清靜處
- 行乞食時保持正念護根
81.2.2 正確修行心境
- 若心不樂，更應謹慎守護諸根
- 獨處時遠離恐怖，心得安穩
- 以實際修行證得，不依傳聞
81.3. 聖者境界特質
81.3.1 神通智慧展現
- 具足大神通大威力，能於梵天界說法
- 能以音聲令千世界得聞
- 能現身、不現身、現半身等各種方式說法
81.3.2 教導眾生能力
- 能向梵天、梵輔天、梵眾天說法
- 能教誡、勉勵眾生，令其歡喜
- 能警醒天眾，破除愚癡見解
81.4. 涅槃究竟真理
81.4.1 諸法實相
- 一切有為行都是無常生滅之法
- 凡是生起的存在必然會滅去
- 以寂滅為究竟安樂
81.4.2 涅槃境界
- 出息入息止息，心住於定
- 無欲染污，得究竟寂靜
- 心無執著，寬廣自在，如燈消逝

</內容>
